id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,"172.28.223.91","00:15:5d:1c:9f:03","00:15:5d",58292,"172.28.219.62","00:15:5d:1c:9f:01","00:15:5d",22,6,4,0,0,1751951748049,1751951748224,175,41,8403,1751951748049,1751951748224,175,21,3650,1751951748049,1751951748224,175,20,4753,66,204.9512195121951,271.6238162624471,1354,66,173.80952380952377,273.2748834136828,1354,66,237.64999999999998,272.98029136493386,1106,0,4.374999999999999,11.900630235411906,43,0,8.75,21.175643903712633,85,0,9.210526315789473,16.40656693511751,44,2,0,0,0,40,29,1,0,1,0,0,0,20,15,1,0,1,0,0,0,20,14,0,0,"SSH","RemoteAccess",0,6,"","A2DE0F306611E0957BE704F5B0E35A82","671C5858369DB8E0A60108D866BBF8EC","",""
1,0,"172.28.223.91","00:15:5d:1c:9f:03","00:15:5d",58336,"172.28.219.62","00:15:5d:1c:9f:01","00:15:5d",22,6,4,0,0,1751951749401,1751951749574,173,39,8255,1751951749401,1751951749574,173,21,3634,1751951749401,1751951749574,173,18,4621,66,211.66666666666663,276.8205131330193,1354,66,173.04761904761904,273.2849202188947,1354,66,256.72222222222223,281.83971363703614,1106,0,4.552631578947368,12.089077867994533,42,0,8.649999999999999,20.71174342708681,83,0,10.176470588235292,16.655461919883994,42,2,0,0,0,38,29,1,0,1,0,0,0,20,15,1,0,1,0,0,0,18,14,0,0,"SSH","RemoteAccess",0,6,"","A2DE0F306611E0957BE704F5B0E35A82","671C5858369DB8E0A60108D866BBF8EC","",""
2,0,"172.28.223.91","00:15:5d:1c:9f:03","00:15:5d",58302,"172.28.219.62","00:15:5d:1c:9f:01","00:15:5d",22,6,4,0,0,1751951748325,1751951748497,172,40,8321,1751951748325,1751951748497,172,21,3634,1751951748325,1751951748497,172,19,4687,66,208.02499999999998,273.6423351093587,1354,66,173.04761904761904,273.2849202188947,1354,66,246.6842105263158,276.138462175043,1106,0,4.41025641025641,11.739985539123948,44,0,8.599999999999998,19.921952979723546,77,0,9.555555555555554,16.132620305099127,44,2,0,0,0,39,30,1,0,1,0,0,0,20,15,1,0,1,0,0,0,19,15,0,0,"SSH","RemoteAccess",0,6,"","A2DE0F306611E0957BE704F5B0E35A82","671C5858369DB8E0A60108D866BBF8EC","",""
3,0,"172.28.223.91","00:15:5d:1c:9f:03","00:15:5d",58358,"172.28.219.62","00:15:5d:1c:9f:01","00:15:5d",22,6,4,0,0,1751951750221,1751951750412,191,41,8387,1751951750221,1751951750412,191,21,3634,1751951750222,1751951750412,190,20,4753,66,204.56097560975607,271.6749941364211,1354,66,173.04761904761904,273.2849202188947,1354,66,237.64999999999998,272.98029136493386,1106,0,4.7749999999999995,12.336079042947404,47,0,9.549999999999999,23.60525142286864,97,0,10.0,16.73320053068151,48,2,0,0,0,40,29,1,0,1,0,0,0,20,15,1,0,1,0,0,0,20,14,0,0,"SSH","RemoteAccess",0,6,"","A2DE0F306611E0957BE704F5B0E35A82","671C5858369DB8E0A60108D866BBF8EC","",""
4,0,"172.28.223.91","00:15:5d:1c:9f:03","00:15:5d",36638,"172.28.219.62","00:15:5d:1c:9f:01","00:15:5d",22,6,4,0,0,1751951751042,1751951751204,162,39,8255,1751951751042,1751951751204,162,21,3634,1751951751043,1751951751204,161,18,4621,66,211.66666666666663,276.8205131330193,1354,66,173.04761904761904,273.2849202188947,1354,66,256.72222222222223,281.83971363703614,1106,0,4.2631578947368425,11.412852429125246,44,0,8.100000000000001,18.637539932535145,70,0,9.470588235294118,15.780199804893249,44,2,0,0,0,38,29,1,0,1,0,0,0,20,15,1,0,1,0,0,0,18,14,0,0,"SSH","RemoteAccess",0,6,"","A2DE0F306611E0957BE704F5B0E35A82","671C5858369DB8E0A60108D866BBF8EC","",""
5,0,"172.28.223.91","00:15:5d:1c:9f:03","00:15:5d",36690,"172.28.219.62","00:15:5d:1c:9f:01","00:15:5d",22,6,4,0,0,1751951752382,1751951752553,171,39,8255,1751951752382,1751951752553,171,21,3634,1751951752382,1751951752553,171,18,4621,66,211.66666666666663,276.8205131330193,1354,66,173.04761904761904,273.2849202188947,1354,66,256.72222222222223,281.83971363703614,1106,0,4.5,11.767453971568063,43,0,8.55,19.81885067568912,77,0,10.058823529411764,16.307477534229868,43,2,0,0,0,38,29,1,0,1,0,0,0,20,15,1,0,1,0,0,0,18,14,0,0,"SSH","RemoteAccess",0,6,"","A2DE0F306611E0957BE704F5B0E35A82","671C5858369DB8E0A60108D866BBF8EC","",""
6,0,"172.28.219.62","00:15:5d:1c:9f:01","00:15:5d",22,"172.28.223.91","00:15:5d:1c:9f:03","00:15:5d",58290,6,4,0,0,1751951747846,1751951747948,102,27,4486,1751951747846,1751951747948,102,13,2698,1751951747846,1751951747948,102,14,1788,66,166.14814814814815,133.24578322197945,722,66,207.53846153846155,182.52699133033056,722,66,127.71428571428571,38.099926451430264,178,0,3.9230769230769225,10.74773679217379,41,0,8.499999999999998,14.981807149157456,41,0,7.846153846153845,19.407241577334624,65,0,0,0,0,27,22,1,0,0,0,0,0,13,11,0,0,0,0,0,0,14,11,1,0,"SSH","RemoteAccess",1,1,"","","","",""
7,0,"172.28.223.91","00:15:5d:1c:9f:03","00:15:5d",36768,"172.28.219.62","00:15:5d:1c:9f:01","00:15:5d",22,6,4,0,0,1751951754537,1751951754712,175,39,8255,1751951754537,1751951754712,175,21,3634,1751951754537,1751951754712,175,18,4621,66,211.66666666666663,276.8205131330193,1354,66,173.04761904761904,273.2849202188947,1354,66,256.72222222222223,281.83971363703614,1106,0,4.605263157894735,12.26187118934184,44,0,8.75,20.776694940042294,82,0,10.294117647058824,16.910664925877224,44,2,0,0,0,38,29,1,0,1,0,0,0,20,15,1,0,1,0,0,0,18,14,0,0,"SSH","RemoteAccess",0,6,"","A2DE0F306611E0957BE704F5B0E35A82","671C5858369DB8E0A60108D866BBF8EC","",""
8,0,"172.28.223.91","00:15:5d:1c:9f:03","00:15:5d",36660,"172.28.219.62","00:15:5d:1c:9f:01","00:15:5d",22,6,4,0,0,1751951751594,1751951751756,162,39,8271,1751951751594,1751951751756,162,21,3650,1751951751595,1751951751756,161,18,4621,66,212.07692307692307,276.75681749938644,1354,66,173.80952380952377,273.2748834136828,1354,66,256.72222222222223,281.83971363703614,1106,0,4.263157894736842,11.166272117471545,42,0,8.100000000000001,18.292650235315246,69,0,9.470588235294118,15.664919593868106,43,2,0,0,0,38,29,1,0,1,0,0,0,20,15,1,0,1,0,0,0,18,14,0,0,"SSH","RemoteAccess",0,6,"","A2DE0F306611E0957BE704F5B0E35A82","671C5858369DB8E0A60108D866BBF8EC","",""
9,0,"172.28.223.91","00:15:5d:1c:9f:03","00:15:5d",58306,"172.28.219.62","00:15:5d:1c:9f:01","00:15:5d",22,6,4,0,0,1751951748597,1751951748769,172,39,8255,1751951748597,1751951748769,172,21,3634,1751951748597,1751951748769,172,18,4621,66,211.66666666666663,276.8205131330193,1354,66,173.04761904761904,273.2849202188947,1354,66,256.72222222222223,281.83971363703614,1106,0,4.526315789473684,11.933909991338362,44,0,8.599999999999998,19.91138262137356,77,0,10.117647058823527,16.582680546812902,45,2,0,0,0,38,29,1,0,1,0,0,0,20,15,1,0,1,0,0,0,18,14,0,0,"SSH","RemoteAccess",0,6,"","A2DE0F306611E0957BE704F5B0E35A82","671C5858369DB8E0A60108D866BBF8EC","",""
